DateOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_district,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
02 Mar 2019,18,Special Service,Special Service,Hazardous Materials incident,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,BR1,Bromley Town,539550,169950,Bromley,264,Bromley,,,1,1,1,2,666,1
02 Mar 2019,19,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR5,Petts Wood & Knoll,545450,167650,Orpington,385,Orpington,902,Orpington,1,2,2,2,666,1
02 Mar 2019,19,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,BR3,Beckenham Town & Copers Cope,537650,170850,Beckenham,140,Beckenham,,,1,1,1,1,333,4
02 Mar 2019,20,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,BR2,Shortlands & Park Langley,539750,168450,Bromley,292,Bromley,317,Bromley,2,3,3,1,333,1
02 Mar 2019,23,False Alarm,False alarm - Good intent,,Non Residential,Hospital ,Correct incident location,BR6,Farnborough & Crofton,543350,165050,Orpington,404,Orpington,481,Orpington,1,2,2,1,333,2
02 Mar 2019,23,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR6,Chelsfield,545950,163650,Orpington,658,Bromley,690,Bromley,2,3,3,2,666,1
03 Mar 2019,2,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR7,Mottingham,542950,171250,Eltham,412,Eltham,526,Sidcup,2,2,2,1,333,1
03 Mar 2019,9,False Alarm,AFA,,Non Residential,Health Centre ,Within same building,BR3,Clock House,536550,169650,Beckenham,116,Beckenham,,,1,1,1,1,333,1
03 Mar 2019,18,False Alarm,False alarm - Good intent,,Road Vehicle,Car ,In street outside gazetteer location,TN14,Chelsfield,548950,163050,Orpington,,,,,1,1,1,1,333,1
03 Mar 2019,18,False Alarm,False alarm - Malicious,,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,BR3,Clock House,536350,169350,Beckenham,146,Beckenham,425,Woodside,2,2,2,1,333,1
03 Mar 2019,19,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,BR4,Hayes & Coney Hall,539550,164450,Addington,461,Addington,,,1,1,1,1,333,1
03 Mar 2019,19,Fire,Primary Fire,,Dwelling,House - single occupancy ,Within same building,TN16,Darwin,541250,160950,Biggin Hill,254,Biggin Hill,717,Addington,2,2,2,2,666,1
03 Mar 2019,20,Fire,Secondary Fire,,Outdoor,Loose refuse ,Open land/water - nearest gazetteer location,BR6,Darwin,544550,163950,Orpington,567,Orpington,,,1,1,1,1,333,1
04 Mar 2019,0,False Alarm,False alarm - Malicious,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,BR5,Orpington,547750,166250,Orpington,484,Orpington,,,1,1,1,1,333,1
04 Mar 2019,2,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Correct incident location,BR1,Bromley Town,540350,169450,Bromley,13,Bromley,,,1,1,1,1,333,1
04 Mar 2019,4,False Alarm,AFA,,Non Residential,Leisure Centre ,Correct incident location,BR6,Orpington,546350,166350,Orpington,299,Orpington,,,1,1,1,1,333,1
04 Mar 2019,8,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,SE26,Penge & Cator,534850,171050,Beckenham,340,Beckenham,401,Forest Hill,3,3,3,1,333,1
04 Mar 2019,9,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR5,St. Paul's Cray,546850,169850,Sidcup,296,Sidcup,321,Sidcup,1,2,2,1,333,1
04 Mar 2019,12,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,BR4,West Wickham,537650,166450,Beckenham,472,Beckenham,,,1,1,1,1,333,1
04 Mar 2019,13,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,SE9,Mottingham,542750,172050,Eltham,393,Eltham,,,1,1,1,1,333,2
04 Mar 2019,15,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,BR6,Orpington,547350,165850,Orpington,233,Orpington,3,Orpington,1,2,2,1,333,1
04 Mar 2019,16,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR2,Bromley Common & Holwood,543350,166950,Bromley,695,Bromley,,,1,2,2,1,333,1
04 Mar 2019,17,Fire,Primary Fire,,Outdoor Structure,Other outdoor structures ,On land associated with building,BR5,St. Paul's Cray,547050,169350,Sidcup,329,Orpington,361,Orpington,1,2,2,2,666,7
04 Mar 2019,18,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR7,Mottingham,542850,171850,Eltham,336,Eltham,,,1,1,1,1,333,1
04 Mar 2019,18,Fire,Secondary Fire,,Outdoor,Playground/Recreation area (not equipment),In street outside gazetteer location,SE20,Penge & Cator,534850,169850,Beckenham,322,Beckenham,,,1,1,1,1,333,14
04 Mar 2019,19,False Alarm,False alarm - Good intent,,Road Vehicle,Car ,In street outside gazetteer location,SE20,Penge & Cator,535050,170550,Beckenham,466,Forest Hill,838,Beckenham,2,2,2,1,333,1
04 Mar 2019,20,False Alarm,False alarm - Good intent,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR2,Shortlands & Park Langley,539250,169050,Beckenham,257,Bromley,259,Bromley,1,2,2,1,333,1
05 Mar 2019,7,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,BR7,Chislehurst,544550,169850,Sidcup,461,Sidcup,574,Sidcup,1,2,2,1,333,2
05 Mar 2019,11,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR5,St. Mary Cray,547250,167750,Orpington,296,Orpington,456,Orpington,2,3,3,1,333,2
05 Mar 2019,14,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,SE20,Crystal Palace & Anerley,534250,170250,Beckenham,334,Beckenham,,,1,1,1,1,333,1
05 Mar 2019,15,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Correct incident location,BR3,Clock House,536850,169550,Beckenham,13,Beckenham,,,1,1,1,1,333,1
05 Mar 2019,17,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Correct incident location,BR3,Clock House,536850,169550,Beckenham,515,Beckenham,,,1,1,1,1,333,1
