DateOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_district,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
17 Dec 2020,1,Special Service,Special Service,Making Safe (not RTC),Dwelling,House - single occupancy ,Correct incident location,BR6,Farnborough & Crofton,545050,165750,Orpington,752,Bromley,,,1,1,1,1,346,1
17 Dec 2020,12,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,BR5,St. Mary Cray,545950,167950,Orpington,124,Orpington,,,1,1,1,1,346,1
17 Dec 2020,15,False Alarm,AFA,,Dwelling,Other Dwelling ,Within same building,BR5,St. Mary Cray,547250,168250,Orpington,325,Orpington,347,Orpington,1,2,2,1,346,1
17 Dec 2020,17,Fire,Primary Fire,,Non Residential,Athletics Stadium ,Correct incident location,SE20,Crystal Palace & Anerley,534350,170750,Beckenham,435,Beckenham,,,1,1,1,1,346,1
18 Dec 2020,0,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,BR3,Beckenham Town & Copers Cope,537350,170850,Beckenham,362,Beckenham,426,Forest Hill,2,2,2,2,692,1
18 Dec 2020,11,Special Service,Special Service,Lift Release,Non Residential,Shopping Centre ,Within same building,BR1,Bromley Town,540350,169150,Bromley,98,Bromley,,,1,1,1,1,346,1
18 Dec 2020,11,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,SE20,Crystal Palace & Anerley,534550,169150,Woodside,,,,,1,1,1,1,346,1
18 Dec 2020,12,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,SE20,Penge & Cator,534850,170050,Beckenham,672,Forest Hill,,,1,1,1,1,346,1
18 Dec 2020,17,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,BR5,St. Mary Cray,546450,167650,Orpington,280,Orpington,521,Sidcup,2,2,2,3,1038,1
18 Dec 2020,19,Special Service,Special Service,Hazardous Materials incident,Non Residential,Petrol station ,Correct incident location,SE9,Mottingham,542050,172950,Eltham,283,Eltham,356,Lee Green,2,2,2,6,2076,1
19 Dec 2020,3,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR6,St. Mary Cray,546450,166850,Orpington,385,Orpington,679,Sidcup,2,2,2,1,346,1
19 Dec 2020,9,False Alarm,AFA,,Non Residential,College/University ,Correct incident location,BR2,Bromley Town,541250,168550,Bromley,311,Bromley,,,1,1,1,1,346,1
19 Dec 2020,12,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR3,Clock House,536050,168750,Beckenham,291,Beckenham,315,Woodside,2,2,2,1,346,1
19 Dec 2020,15,False Alarm,False alarm - Good intent,,Outdoor,Grassland/ pasture/ grazing etc ,In street close to gazetteer location,BR2,Bromley Town,540250,167550,Bromley,447,Bromley,,,1,1,1,1,346,1
20 Dec 2020,9,Special Service,Special Service,Animal assistance incidents,Outdoor,Park ,Nearby address - no building in street,SE19,Crystal Palace & Anerley,533850,171050,Beckenham,278,West Norwood,,,1,1,1,2,692,1
20 Dec 2020,12,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,BR6,Chelsfield,545750,163650,Orpington,318,Orpington,328,Orpington,1,2,2,2,692,1
20 Dec 2020,14,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,SE9,Mottingham,541850,172050,Eltham,342,Eltham,424,Lee Green,2,2,2,2,692,1
20 Dec 2020,15,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,SE20,Penge & Cator,534850,169950,Beckenham,293,Beckenham,362,Forest Hill,4,5,5,4,1384,1
20 Dec 2020,18,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,TN16,Biggin Hill,541950,158950,Biggin Hill,175,Biggin Hill,593,Addington,2,2,2,1,346,1
20 Dec 2020,18,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,BR5,Orpington,547850,166250,Orpington,,,,,1,1,1,1,346,2
20 Dec 2020,19,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,SE20,Clock House,534850,169150,Woodside,309,Beckenham,,,1,1,1,1,346,1
20 Dec 2020,19,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR4,West Wickham,538250,165950,Beckenham,458,Woodside,,,1,1,1,1,346,1
20 Dec 2020,20,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,SE20,Clock House,534950,169150,Woodside,19,Woodside,,,1,1,1,1,346,1
21 Dec 2020,0,False Alarm,AFA,,Non Residential,Athletics Stadium ,Within same building,SE20,Crystal Palace & Anerley,534450,170850,Beckenham,418,West Norwood,,,1,1,1,1,346,1
21 Dec 2020,9,False Alarm,False alarm - Good intent,,Outdoor,Road surface/pavement ,In street outside gazetteer location,BR6,Farnborough & Crofton,543150,165050,Orpington,415,Orpington,,,1,1,1,1,346,1
21 Dec 2020,9,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR6,Farnborough & Crofton,545450,164950,Orpington,382,Orpington,832,Bromley,2,2,2,1,346,1
21 Dec 2020,13,Special Service,Special Service,Other rescue/release of persons,Outdoor,River/canal ,Open land/water - nearest gazetteer location,BR2,Bromley Common & Holwood,541450,167150,Bromley,1057,Bromley,,,1,1,1,1,346,1
21 Dec 2020,14,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR6,St. Mary Cray,546650,166850,Orpington,304,Orpington,,,1,1,1,1,346,1
21 Dec 2020,15,Special Service,Special Service,Spills and Leaks (not RTC),Outdoor,Road surface/pavement ,Open land/water - nearest gazetteer location,BR2,Hayes & Coney Hall,541050,165150,Bromley,868,Bromley,,,1,1,1,1,346,1
21 Dec 2020,15,False Alarm,AFA,,Non Residential,Pub/wine bar/bar ,Within same building,BR1,Bromley Town,540350,168650,Bromley,570,Beckenham,,,1,1,1,1,346,1
21 Dec 2020,18,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,BR3,Kelsey & Eden Park,537450,169050,Beckenham,245,Beckenham,,,1,1,1,1,346,4
21 Dec 2020,19,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,BR3,Beckenham Town & Copers Cope,538250,169350,Beckenham,195,Beckenham,,,1,1,1,1,346,1
21 Dec 2020,19,Special Service,Special Service,Lift Release,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,BR1,Bromley Town,540450,168950,Bromley,,,,,1,1,1,1,346,1
21 Dec 2020,21,Special Service,Special Service,Effecting entry/exit,Non Residential,Bus/coach station/garage ,Within same building,BR1,Bromley Town,540450,169750,Bromley,193,Bromley,,,1,1,1,1,346,1
22 Dec 2020,9,Special Service,Special Service,Lift Release,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,BR3,Beckenham Town & Copers Cope,537550,169750,Beckenham,,,,,1,1,1,1,346,1
22 Dec 2020,9,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR1,Bickley & Sundridge,540750,169550,Bromley,161,Bromley,,,1,1,1,1,346,1
22 Dec 2020,13,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,BR1,Bromley Town,539850,169750,Bromley,225,Bromley,412,Beckenham,2,2,2,2,692,1
22 Dec 2020,14,Special Service,Special Service,Suicide/attempts,Rail Vehicle,Passenger Train (national rail network) ,Railway land or rolling stock,BR6,Petts Wood & Knoll,545450,165950,Orpington,243,Orpington,252,Orpington,1,2,2,1,346,3
22 Dec 2020,15,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR7,Chislehurst,544650,170050,Sidcup,377,Sidcup,386,Sidcup,1,2,2,1,346,1
22 Dec 2020,17,Fire,Primary Fire,,Road Vehicle,Van ,In street close to gazetteer location,BR5,St. Paul's Cray,548150,168250,Orpington,406,Orpington,,,1,1,1,1,346,1
22 Dec 2020,21,Special Service,Special Service,Making Safe (not RTC),Dwelling,House - single occupancy ,Correct incident location,BR6,Farnborough & Crofton,543950,164450,Orpington,542,Orpington,,,1,1,1,1,346,1
23 Dec 2020,8,False Alarm,AFA,,Non Residential,Cinema ,Correct incident location,BR1,Bromley Town,540050,169450,Bromley,162,Bromley,,,1,1,1,2,692,1
23 Dec 2020,9,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,BR3,Penge & Cator,535950,170250,Beckenham,398,Forest Hill,412,Woodside,2,2,2,2,692,2
23 Dec 2020,13,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,BR3,Beckenham Town & Copers Cope,537350,169450,Beckenham,431,Bromley,,,1,1,1,1,346,1
23 Dec 2020,13,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,BR5,St. Mary Cray,547150,167350,Orpington,240,Orpington,,,1,1,1,1,346,4
23 Dec 2020,13,False Alarm,AFA,,Non Residential,Other Religious Use Building,Correct incident location,BR6,Orpington,546750,164950,Orpington,216,Orpington,,,1,1,1,1,346,1
23 Dec 2020,18,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,BR3,Kelsey & Eden Park,537750,167250,Beckenham,502,Bromley,,,1,1,1,1,346,2
23 Dec 2020,22,Fire,Primary Fire,,Road Vehicle,Car ,In street close to gazetteer location,BR5,St. Paul's Cray,546350,168450,Orpington,327,Orpington,,,1,1,1,1,346,3
24 Dec 2020,0,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR1,Bromley Town,540250,169650,Bromley,228,Bromley,237,Bromley,1,2,2,1,346,1
24 Dec 2020,1,Special Service,Special Service,Effecting entry/exit,Non Residential,Large supermarket ,On land associated with building,BR3,Beckenham Town & Copers Cope,537050,169250,Beckenham,202,Beckenham,,,1,1,1,1,346,1
24 Dec 2020,11,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR2,Shortlands & Park Langley,539150,169450,Beckenham,243,Bromley,,,1,1,1,1,346,1
24 Dec 2020,13,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,SE20,Clock House,534850,169150,Woodside,303,Beckenham,419,Woodside,2,2,2,1,346,1
24 Dec 2020,19,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR6,St. Mary Cray,546250,166850,Orpington,298,Orpington,,,2,2,2,1,346,1
24 Dec 2020,20,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,BR3,Penge & Cator,535950,170550,Beckenham,285,Beckenham,,,1,1,1,1,346,1
24 Dec 2020,22,Fire,Primary Fire,,Non Residential,Single shop ,On land associated with building,TN16,Biggin Hill,542050,158650,Biggin Hill,557,Addington,773,Bromley,2,2,2,1,346,2
25 Dec 2020,7,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR5,St. Paul's Cray,546950,168450,Orpington,394,Orpington,,,1,1,1,1,346,1
25 Dec 2020,13,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,BR1,Bickley & Sundridge,540950,169550,Bromley,408,Beckenham,691,Bromley,2,2,2,2,692,1
25 Dec 2020,16,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR5,St. Mary Cray,547450,168150,Orpington,334,Orpington,,,1,1,1,1,346,1
25 Dec 2020,16,Special Service,Special Service,Animal assistance incidents,Dwelling,House - single occupancy ,Correct incident location,BR6,Petts Wood & Knoll,546050,165750,Orpington,108,Sidcup,,,1,1,1,1,346,1
25 Dec 2020,17,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Kelsey & Eden Park,536250,167950,Woodside,314,Woodside,781,Beckenham,2,2,2,1,346,2
25 Dec 2020,18,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,BR2,Bromley Town,540750,168350,Bromley,,,,,1,1,1,1,346,1
25 Dec 2020,20,Special Service,Special Service,No action (not false alarm),Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,BR5,St. Paul's Cray,547550,168850,Orpington,220,Orpington,,,1,1,1,1,346,2
26 Dec 2020,6,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,SE20,Penge & Cator,535350,169950,Beckenham,310,Beckenham,,,1,1,1,1,346,1
26 Dec 2020,17,Special Service,Special Service,Lift Release,Non Residential,Shopping Centre ,Within same building,SE20,Penge & Cator,535450,170150,Beckenham,195,Beckenham,,,1,1,1,1,346,1
26 Dec 2020,19,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR2,Bromley Common & Holwood,541950,167150,Bromley,307,Bromley,,,1,1,1,1,346,1
26 Dec 2020,20,Special Service,Special Service,Flooding,Other Residential,Nursing/Care Home/Hospice,Correct incident location,BR4,Hayes & Coney Hall,539050,164650,Addington,329,Addington,,,1,1,1,1,346,1
26 Dec 2020,23,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,BR2,Bromley Common & Holwood,541550,168150,Bromley,291,Bromley,,,1,1,1,1,346,1
27 Dec 2020,9,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,BR5,St. Mary Cray,547250,167650,Orpington,249,Orpington,296,Orpington,1,2,2,2,692,1
27 Dec 2020,10,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,BR3,Beckenham Town & Copers Cope,538050,169350,Beckenham,209,Beckenham,387,Bromley,2,2,2,1,346,1
27 Dec 2020,12,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,BR1,Plaistow,540650,171050,Bromley,355,Lee Green,376,Bromley,2,2,2,1,346,1
27 Dec 2020,16,False Alarm,False alarm - Good intent,,Outdoor,Hedge,On land associated with building,TN16,Biggin Hill,541850,158850,Biggin Hill,242,Biggin Hill,,,1,1,1,1,346,1
27 Dec 2020,18,Fire,Primary Fire,,Road Vehicle,Motorcycle ,Open land/water - nearest gazetteer location,BR5,St. Mary Cray,547350,167450,Orpington,297,Orpington,,,1,1,1,1,346,1
27 Dec 2020,19,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,BR1,Bromley Town,539750,169950,Bromley,236,Bromley,,,1,1,1,1,346,1
27 Dec 2020,22,False Alarm,False alarm - Good intent,,Outdoor,Other outdoor location ,On land associated with building,BR2,Shortlands & Park Langley,539650,168850,Bromley,296,Bromley,,,1,1,1,1,346,1
28 Dec 2020,0,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR3,Kelsey & Eden Park,537350,168150,Beckenham,283,Beckenham,373,Woodside,2,2,2,1,346,1
28 Dec 2020,5,False Alarm,False alarm - Good intent,,Non Residential,Secondary school,Correct incident location,BR1,Bickley & Sundridge,542050,169350,Bromley,263,Bromley,644,Beckenham,2,2,2,1,346,1
28 Dec 2020,13,Special Service,Special Service,Removal of objects from people,Outdoor Structure,Railings,On land associated with building,BR6,Farnborough & Crofton,545350,165050,Orpington,352,Orpington,358,Orpington,1,2,2,1,346,1
28 Dec 2020,14,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,SE9,Mottingham,542150,172050,Eltham,484,Eltham,500,Sidcup,2,2,2,1,346,1
28 Dec 2020,20,False Alarm,AFA,,Non Residential,Single shop ,Within same building,BR5,Petts Wood & Knoll,544450,167550,Orpington,446,Orpington,,,1,1,1,1,346,1
28 Dec 2020,21,Special Service,Special Service,Effecting entry/exit,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR2,Bromley Town,540850,168450,Bromley,468,Lewisham,,,1,1,1,1,346,1
29 Dec 2020,4,False Alarm,AFA,,Non Residential,Engineering manufacturing plant,Correct incident location,TN16,Biggin Hill,541550,160050,Biggin Hill,243,Biggin Hill,,,1,1,1,1,346,1
29 Dec 2020,13,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,TN16,Darwin,541050,161150,Biggin Hill,425,Biggin Hill,,,1,1,1,1,346,1
29 Dec 2020,14,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,BR6,Farnborough & Crofton,544450,164250,Orpington,377,Orpington,623,Bromley,2,2,2,1,346,2
29 Dec 2020,23,Special Service,Special Service,RTC,Outdoor,Road surface/pavement ,In street outside gazetteer location,BR3,Kelsey & Eden Park,536250,168450,Beckenham,252,Beckenham,,,1,1,1,1,346,2
29 Dec 2020,23,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,BR2,Bromley Common & Holwood,542250,166850,Bromley,308,Bromley,468,Orpington,2,3,3,3,1038,3
30 Dec 2020,5,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,BR4,West Wickham,537850,166150,Beckenham,414,Woodside,452,Beckenham,2,2,2,2,692,1
30 Dec 2020,11,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Kelsey & Eden Park,536350,167750,Beckenham,352,Beckenham,,,1,1,1,1,346,1
30 Dec 2020,16,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,BR6,St. Mary Cray,546250,166850,Orpington,253,Orpington,262,Orpington,1,2,2,1,346,1
30 Dec 2020,17,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,BR5,St. Mary Cray,546650,168250,Orpington,310,Orpington,,,1,1,1,1,346,1
30 Dec 2020,17,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,SE19,Crystal Palace & Anerley,533850,170250,Beckenham,331,West Norwood,360,West Norwood,1,2,2,2,692,2
30 Dec 2020,17,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR1,Bromley Town,540250,169650,Bromley,179,Bromley,185,Bromley,1,2,2,1,346,1
30 Dec 2020,20,Special Service,Special Service,Medical Incident,Dwelling,House - single occupancy ,Within same building,BR6,Chelsfield,545950,164250,Orpington,296,Orpington,308,Orpington,1,2,2,3,1038,1
30 Dec 2020,21,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,BR1,Bromley Town,540350,168950,Bromley,,,,,1,1,1,1,346,1
31 Dec 2020,10,Special Service,Special Service,Spills and Leaks (not RTC),Road Vehicle,Car ,In street close to gazetteer location,BR6,Farnborough & Crofton,543450,165050,Orpington,391,Orpington,,,1,1,1,1,346,1
31 Dec 2020,13,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Open land/water - nearest gazetteer location,BR3,CLOCK HOUSE,535550,168550,Woodside,233,Woodside,,,1,1,1,1,346,2
31 Dec 2020,15,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,BR6,Chelsfield,545550,163950,Orpington,285,Orpington,302,Orpington,1,2,2,2,692,1
31 Dec 2020,19,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,SE20,Penge & Cator,535250,169650,Beckenham,239,Beckenham,356,Woodside,2,2,2,1,346,1
31 Dec 2020,21,False Alarm,AFA,,Other Residential,Hotel/motel ,Correct incident location,BR1,Bromley Town,539850,169850,Bromley,177,Bromley,,,1,1,1,1,346,1
31 Dec 2020,22,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,SE20,Penge & Cator,535250,169650,Beckenham,197,Beckenham,311,Woodside,2,2,2,1,346,1
01 Jan 2021,7,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,SE20,Crystal Palace & Anerley,534550,169950,Beckenham,290,Beckenham,321,West Norwood,2,2,2,1,346,1
01 Jan 2021,11,Special Service,Special Service,No action (not false alarm),Road Vehicle,Car ,In street outside gazetteer location,BR6,Farnborough & Crofton,544950,165850,Orpington,266,Orpington,,,1,1,1,1,346,2
01 Jan 2021,12,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR5,Petts Wood & Knoll,545050,168150,Orpington,410,Orpington,,,1,1,1,1,346,1
01 Jan 2021,15,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR3,Beckenham Town & Copers Cope,537350,171050,Beckenham,285,Beckenham,,,1,1,1,1,346,1
01 Jan 2021,19,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,BR2,Bromley Common & Holwood,542050,167950,Bromley,189,Bromley,326,Bromley,1,2,2,3,1038,1
02 Jan 2021,6,False Alarm,AFA,,Other Residential,Nurses'/Doctors' accommodation ,Within same building,BR6,Farnborough & Crofton,543250,164850,Orpington,439,Orpington,491,Orpington,1,2,2,1,346,1
02 Jan 2021,12,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR6,Chelsfield,545650,163650,Orpington,316,Orpington,317,Orpington,1,2,2,2,692,1
02 Jan 2021,15,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,SE20,Crystal Palace & Anerley,534850,169550,Beckenham,317,Beckenham,355,Woodside,3,3,3,1,346,1
02 Jan 2021,21,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,SE20,Penge & Cator,535250,170050,Beckenham,,,,,1,1,1,1,346,1
02 Jan 2021,23,Special Service,Special Service,Lift Release,Other Residential,Nursing/Care Home/Hospice,Correct incident location,BR1,Bickley & Sundridge,541350,169550,Bromley,,,,,1,1,1,1,346,1
03 Jan 2021,1,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,BR5,St. Mary Cray,547850,168250,Orpington,528,Orpington,589,Orpington,1,2,2,1,346,1
03 Jan 2021,5,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,BR2,Bromley Town,540750,168350,Bromley,268,Bromley,561,Lewisham,4,4,4,1,346,2
03 Jan 2021,15,False Alarm,False alarm - Good intent,,Outdoor,Domestic garden (vegetation not equipment) ,Open land/water - nearest gazetteer location,BR2,Bromley Common & Holwood,541750,165350,Bromley,400,Bromley,715,Bromley,1,2,2,1,346,1
03 Jan 2021,17,Special Service,Special Service,Medical Incident,Road Vehicle,Car ,On motorway / elevated road,DA14,St. Paul's Cray,547450,170250,Sidcup,749,Sidcup,841,Sidcup,1,2,2,2,692,1
03 Jan 2021,19,False Alarm,False alarm - Good intent,,Outdoor,Playground/Recreation area (not equipment),On land associated with building,SE20,Crystal Palace & Anerley,534350,169850,Beckenham,419,Beckenham,,,1,1,1,1,346,1
04 Jan 2021,0,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,BR1,Plaistow,540250,171050,Bromley,322,Bromley,,,1,1,1,1,346,1
04 Jan 2021,7,Fire,Primary Fire,,Road Vehicle,Car ,In street close to gazetteer location,BR3,Kelsey & Eden Park,535750,168250,Woodside,367,Woodside,,,1,1,1,1,346,4
04 Jan 2021,21,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,BR6,Orpington,545950,165850,Orpington,193,Orpington,,,1,1,1,1,346,1
05 Jan 2021,3,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,BR2,Bromley Common & Holwood,542050,167650,Bromley,395,Bromley,685,Beckenham,2,2,2,1,346,1
05 Jan 2021,8,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,BR4,Hayes & Coney Hall,539650,167150,Bromley,393,Bromley,,,1,1,1,1,346,1
05 Jan 2021,11,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Within same building,BR6,Farnborough & Crofton,544350,164450,Orpington,440,Orpington,,,1,1,1,1,346,1
05 Jan 2021,15,Fire,Secondary Fire,,Outdoor,Railway trackside vegetation ,In street close to gazetteer location,BR3,Kelsey & Eden Park,537050,167750,Beckenham,302,Beckenham,,,1,1,1,1,346,2
05 Jan 2021,15,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,BR1,Bickley & Sundridge,542850,169150,Bromley,390,Bromley,534,Sidcup,2,2,2,1,346,1
05 Jan 2021,22,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,BR3,Beckenham Town & Copers Cope,536950,170250,Beckenham,238,Beckenham,439,Bromley,2,2,2,1,346,1
05 Jan 2021,23,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Beckenham Town & Copers Cope,538750,169450,Beckenham,293,Bromley,304,Bromley,1,2,2,1,346,1
06 Jan 2021,0,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR1,Bromley Town,540250,169650,Bromley,167,Bromley,453,Bromley,1,2,2,1,346,1
06 Jan 2021,14,Special Service,Special Service,Lift Release,Other Residential,Nursing/Care Home/Hospice,Correct incident location,BR1,Bickley & Sundridge,541350,169550,Bromley,,,,,1,1,1,1,346,2
06 Jan 2021,15,False Alarm,False alarm - Good intent,,Outdoor,Loose refuse ,On land associated with building,BR6,Farnborough & Crofton,545050,165450,Orpington,317,Orpington,,,1,1,1,1,346,1
06 Jan 2021,20,Special Service,Special Service,Animal assistance incidents,Outdoor,Golf course (not building on course),On land associated with building,BR7,Chislehurst,543750,170050,Bromley,459,Bromley,,,1,1,1,1,346,1
06 Jan 2021,20,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR5,St. Paul's Cray,547250,168950,Orpington,324,Orpington,342,Orpington,1,2,2,1,346,2
07 Jan 2021,10,Fire,Primary Fire,,Road Vehicle,Lorry/HGV ,In street outside gazetteer location,BR3,Kelsey & Eden Park,537150,166650,Beckenham,63,Woodside,324,Beckenham,2,2,2,2,692,1
07 Jan 2021,12,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,BR1,Bromley Town,540350,169450,Bromley,143,Bromley,400,Beckenham,2,2,2,1,346,1
07 Jan 2021,14,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,BR1,Bromley Town,540250,169650,Bromley,152,Bromley,420,Beckenham,2,2,2,1,346,1
07 Jan 2021,15,False Alarm,False alarm - Good intent,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,BR6,Farnborough & Crofton,544050,164250,Orpington,470,Orpington,470,Orpington,1,2,2,1,346,1
07 Jan 2021,16,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Beckenham Town & Copers Cope,537650,170650,Beckenham,290,Beckenham,,,1,1,1,1,346,1
